06-08-2019 10:29:48.000 +	ZET7156_X (08)	ZET7156_Y (09)	ZET7156_Z (10)	
c	мм/с	мм/с	мм/с	
43,334	0,0422453	0,0544917	0,0365115
43,336	0,0420311	0,0155718	-0,0122658
43,338	0,032927	0,0314302	0,00828533
43,34	0,020653	0,0686356	0,0718934
43,342	0,0698439	0,053459	0,0632944
43,344	0,0675585	-0,00142252	0,0134507
43,346	-0,0106526	0,0434959	-0,00807998
43,348	0,0069978	0,098229	0,0366288
43,35	0,0709653	0,0493561	0,0516395
43,352	0,0369065	-0,000421682	0,033014
43,354	-0,00811847	0,0342152	0,0497412
43,356	0,0308291	0,0826548	0,040836
43,358	0,0531888	0,0442741	-0,0216138
43,36	0,0207181	-0,00610228	0,012252
43,362	0,0239855	0,0736257	0,0638703
43,364	0,0521507	0,0974497	0,00791649
43,366	0,0276712	0,00410957	-0,00539553
43,368	0,000831854	-0,00572537	0,0641848
43,37	0,0322291	0,0627052	0,048358
43,372	0,0798395	0,103003	-0,024996
43,374	0,0337774	0,0683518	-0,0241443
43,376	0,0120249	0,00353218	0,0350008
43,378	0,0863233	0,0305928	0,0571635
43,38	0,0609589	0,0901993	0,0328337
43,382	0,0211779	0,058767	0,0141282
43,384	0,0759968	-0,00139908	0,000234283
43,386	0,078833	0,0461806	-0,0101997
43,388	0,0656036	0,117976	0,0355907
43,39	0,0743425	0,0641888	0,0787207
43,392	0,0677708	0,00504565	0,0242375
43,394	0,11469	0,0381481	-0,024748
43,396	0,103326	0,0703385	0,0121134
43,398	0,0447339	0,0839342	0,0470698
43,4	0,0818447	0,055545	0,0453455
43,402	0,119442	0,0270271	0,0304421
43,404	0,0997354	0,0609291	0,0136052
43,406	0,076341	0,0801162	-0,00196129
43,408	0,097478	0,0501677	-0,0129311
43,41	0,138263	-0,00712671	0,0342682
43,412	0,108782	0,0399719	0,0733293
43,414	0,045237	0,128744	0,0210961
43,416	0,0756441	0,0615856	-0,029996
43,418	0,154405	-0,0437097	-0,00997072
43,42	0,128487	0,0277335	0,0221057
43,422	0,0660198	0,134433	0,0407197
43,424	0,0974279	0,0492849	0,0552891
43,426	0,11463	-0,0552422	0,0014043
43,428	0,081542	0,0302293	-0,0451732
43,43	0,0922462	0,125733	0,0359529
43,432	0,113218	0,0661001	0,0673626
43,434	0,112376	-0,0453163	-0,0233594
43,436	0,103842	4,46569e-005	-0,0197183
43,438	0,0916749	0,120222	0,0557336
43,44	0,104906	0,0571779	0,0444072
43,442	0,108202	-0,0276946	-0,0317998
43,444	0,0930101	0,0309576	-0,0350505
43,446	0,1251	0,0861682	0,0299855
43,448	0,141667	0,0299096	0,0487381
43,45	0,0935594	-0,0129061	0,0251831
43,452	0,101175	0,0490788	0,00695507
43,454	0,126495	0,0839382	-0,0177613
43,456	0,104014	0,0402523	-0,010717
43,458	0,118869	0,00510442	0,0642769
43,46	0,139759	0,0438556	0,0678359
43,462	0,116554	0,0770237	0,00891728
43,464	0,0938201	0,0413274	0,00247173
43,466	0,100253	0,0193156	0,0222337
43,468	0,117377	0,0521362	0,017842
43,47	0,123345	0,0894099	0,0281376
43,472	0,0944157	0,0334431	0,0640049
43,474	0,0967797	-0,011391	0,03972
43,476	0,106075	0,0367713	-0,0108963
43,478	0,0855201	0,100699	-0,000555489
43,48	0,100115	0,062839	0,0406851
43,482	0,102342	-0,00191004	0,044086
43,484	0,0824734	0,0734639	0,00542057
43,486	0,0664786	0,0903146	0,028211
43,488	0,0558467	0,00898631	0,0413143
43,49	0,0839413	0,0197264	-0,00794565
43,492	0,0942601	0,0925349	-0,0109662
43,494	0,0476729	0,0961941	0,0341628
43,496	0,0328732	0,0174813	0,0482739
43,498	0,0769732	0,0107932	-0,00140907
43,5	0,0834995	0,0733278	-0,00428019
43,502	0,0115241	0,096058	0,00778952
43,504	0,00328893	0,0479762	0,0029843
43,506	0,0766699	0,00325154	0,0236877
43,508	0,0882254	0,061698	0,0503682
43,51	0,0370136	0,119503	0,0341092
43,512	0,0145139	0,0491775	-0,0145
43,514	0,0463296	-0,0163672	-0,0123405
43,516	0,0678772	0,0662143	0,0379784
43,518	0,0140293	0,143078	0,0712577
43,52	0,0183148	0,065219	0,0722247
43,522	0,0822532	-0,0231861	0,00728376
43,524	0,0658066	0,0365803	-0,0257443
43,526	0,00798665	0,142648	0,0374531
43,528	0,0117494	0,095707	0,0788443
43,53	0,0600836	-0,0240252	0,0263609
43,532	0,0783034	0,0296156	0,0115016
43,534	0,0204121	0,122734	0,0604784
43,536	0,00674561	0,074685	0,0447569
43,538	0,072886	-0,0229327	-0,00865608
43,54	0,0696237	0,0278861	0,0121758
43,542	0,0243735	0,143917	0,0699906
43,544	0,00997976	0,078881	0,0677827
43,546	0,058066	-0,0325705	0,0107513
43,548	0,0895668	-0,00650161	0,0106079
43,55	0,0256412	0,113411	0,0464457
43,552	-0,0108632	0,11038	0,0488124
43,554	0,0388194	-0,0149106	0,0147209
43,556	0,0668904	-0,0214257	0,0103066
43,558	0,0343053	0,0832222	0,0532948
43,56	0,0184921	0,0903759	0,0496302
43,562	0,0440726	-0,0264744	-0,0109426
43,564	0,0654998	-0,0411689	-0,0221788
43,566	0,0410193	0,0940227	0,0380885
43,568	0,0133366	0,122287	0,0670901
43,57	0,0398237	-0,0116435	0,0103374
43,572	0,0746801	-0,0594326	-0,0439776
43,574	0,0597458	0,0591154	-0,00668763
43,576	0,0462075	0,102888	0,0637891
43,578	0,0716232	0,0210703	0,043046
43,58	0,0671546	-0,00784281	-0,0504721
43,582	0,0541839	0,039261	-0,0178982
43,584	0,0529866	0,0811486	0,04503
43,586	0,05581	0,0236618	0,0148987
43,588	0,0826245	-0,0161019	-0,0171959
43,59	0,0990845	0,0457305	0,0196555
43,592	0,0738079	0,074853	0,0317772
43,594	0,0913569	0,0472145	0,00492804
43,596	0,0995936	0,0145243	-0,0040084
43,598	0,0843976	0,0301337	-0,00385177
43,6	0,0978988	0,0655412	0,0228675
43,602	0,0838478	0,0545509	0,059129
43,604	0,0938283	0,0272341	0,0494738
43,606	0,127605	0,0256706	-0,000993771
43,608	0,110976	0,0675074	-0,0192266
43,61	0,101289	0,0644933	0,0257346
43,612	0,110229	0,0121849	0,0614466
43,614	0,0889029	0,040993	0,0336542
43,616	0,0825623	0,0728664	0,0130887
43,618	0,103477	0,0422896	0,027298
43,62	0,125981	0,0278161	0,0307737
43,622	0,106996	0,0524395	0,00181025
43,624	0,0936749	0,0602499	0,00584547
43,626	0,123995	0,0488614	0,0350153
43,628	0,122681	0,0411721	0,0169593
43,63	0,0778543	0,0386244	0,0097262
43,632	0,0820732	0,0570855	0,0247874
43,634	0,131825	0,0483272	0,00384746
43,636	0,127706	0,045353	-0,0196822
43,638	0,078194	0,067366	0,0299371
43,64	0,0905334	0,0618153	0,0557999
43,642	0,127227	0,0425742	-0,0251596
43,644	0,0902247	0,0352577	-0,0426236
43,646	0,0776366	0,0489089	0,0593745
43,648	0,102389	0,0531427	0,0529056
43,65	0,0959197	0,05242	-0,0313191
43,652	0,0938013	0,0725348	-0,00168345
43,654	0,0922713	0,0465016	0,0493946
43,656	0,0863228	0,0252834	-0,00128882
43,658	0,0958742	0,0546045	-0,00839056
43,66	0,10514	0,0572433	0,0558126
43,662	0,118436	0,0549156	0,0446491
43,664	0,0799772	0,0576615	-0,0194168
43,666	0,0403978	0,0710928	-0,0150548
43,668	0,0885223	0,0427803	0,0387221
43,67	0,0916511	0,0157491	0,0527899
43,672	0,0618389	0,062488	0,0223632
43,674	0,0859954	0,0515002	0,00707102
43,676	0,101146	0,00791284	-0,00707588
43,678	0,0668073	0,0402775	0,015991
43,68	0,0299005	0,0819335	0,0492745
43,682	0,0443257	0,0478388	0,0461897
43,684	0,066078	0,0174182	-0,0109579
43,686	0,0555237	0,0159452	0,00228213
43,688	0,0707257	0,0428525	0,0792818
43,69	0,078382	0,0596001	0,0577152
43,692	0,0421064	0,0447239	-0,0407078
43,694	0,0390072	0,00955609	-0,0118532
43,696	0,0202234	0,0177398	0,0663974
43,698	0,012823	0,0549833	0,0487787
43,7	0,0435259	0,029597	0,0325028
43,702	0,0472574	0,00811743	0,0294423
43,704	0,0315014	0,0193445	-0,0134143
43,706	0,035743	0,0518782	-0,0121097
43,708	0,0315473	0,0582741	0,0406537
43,71	0,0131339	0,00710588	0,043017
43,712	0,00943794	0,00755726	0,00677433
43,714	0,0202806	0,0554789	0,0223411
43,716	0,0396765	0,0275982	0,0337884
43,718	0,0396844	0,00885151	-0,0106168
43,72	0,0406194	0,0637723	0,00300706
43,722	0,0452255	0,0732007	0,0427791
43,724	0,0168842	0,0211494	0,00395011
43,726	-0,0183509	0,0116925	-0,0204707
43,728	0,0409553	0,0281715	0,0586967
43,73	0,0751488	0,0452476	0,0705462
43,732	-0,00159779	0,0618445	-0,0104696
43,734	-0,00117115	0,0516667	-0,0103868
43,736	0,0772018	0,0327729	0,0277017
43,738	0,0572877	0,0223679	0,0247138
43,74	0,00487285	0,0569939	0,0600198
43,742	0,0262202	0,0728254	0,0694683
43,744	0,057343	0,00217122	-0,0031725
43,746	0,0611209	0,024659	0,00226453
43,748	0,0420325	0,124601	0,0762695
43,75	0,051112	0,101778	0,0493078
43,752	0,0616682	0,0030174	-0,0259599
43,754	0,0375588	0,00960964	-0,00531845
43,756	0,066522	0,0684165	0,0711008
43,758	0,0817487	0,0559907	0,0691996
43,76	0,0403368	0,0610254	-0,0123364
43,762	0,055825	0,0590355	-0,0425196
43,764	0,0806504	0,0443806	0,00525095
43,766	0,0565515	0,0776767	0,0327245
43,768	0,0853854	0,0681051	0,0322197
43,77	0,116017	0,00905789	0,0236902
43,772	0,0724321	0,0408188	-0,00390709
43,774	0,0682321	0,105086	-0,0181829
43,776	0,105213	0,0675623	0,0311589
43,778	0,0902096	0,0408695	0,0327295
43,78	0,0905313	0,0716231	-0,00816281
43,782	0,11206	0,0609687	0,00937055
43,784	0,0929845	0,0143699	0,0500815
43,786	0,0995329	0,0142349	0,0307635
43,788	0,134325	0,0829306	-0,00517024
43,79	0,108997	0,100203	0,00581927
43,792	0,0871946	0,018384	0,0376846
43,794	0,115143	0,013589	0,0222406
43,796	0,137265	0,0699632	0,0141262
43,798	0,131756	0,0535164	0,0455776
43,8	0,123661	0,0127367	0,0479548
43,802	0,131762	0,0429779	-0,0102478
43,804	0,147822	0,0690884	-0,0171747
43,806	0,133584	0,0511707	0,0358547
43,808	0,141943	0,0335092	0,0402796
43,81	0,149288	0,00555634	0,00511426
43,812	0,10458	0,0293499	-0,00217639
43,814	0,11632	0,0661655	0,0235911
43,816	0,171866	0,0257629	0,00791864
43,818	0,147771	0,00712825	-0,0178907
43,82	0,11943	0,0502979	0,00938034
43,822	0,153991	0,0273755	0,0223953
43,824	0,130107	-0,0156758	-0,0144102
43,826	0,086054	0,0150674	0,00474609
43,828	0,135328	0,048562	0,0584705
43,83	0,161545	0,0379361	0,0250368
43,832	0,0962179	0,027539	-0,038728
43,834	0,120694	0,00808924	0,00311563
43,836	0,174295	-0,000654242	0,0431165
43,838	0,0989997	0,0138813	0,0210495
43,84	0,0456047	0,0388008	0,0359733
43,842	0,104465	0,0334389	0,0355493
43,844	0,128629	-0,00186251	-0,0259267
43,846	0,0972421	0,00833354	-0,0147876
43,848	0,0918616	0,0381114	0,0630864
43,85	0,108686	0,0216728	0,037337
43,852	0,0918742	-0,00816375	-0,0275632
43,854	0,0517637	0,0178709	-0,00352231
43,856	0,0886773	0,0492523	0,0430647
43,858	0,121849	0,0312661	0,0362026
43,86	0,0735048	0,0492827	-0,0013686
43,862	0,0575819	0,0263357	-0,00505243
43,864	0,0927024	-0,00236206	0,0176304
43,866	0,083861	0,0647449	0,019679
43,868	0,0519113	0,0622862	0,0345997
43,87	0,0648677	0,00935218	0,0321622
43,872	0,0623796	0,0207865	-0,00844549
43,874	0,0540106	0,0575283	-0,00661566
43,876	0,0618537	0,0569669	0,0532761
43,878	0,0291468	0,0421464	0,0561316
43,88	0,0337695	0,0501548	-0,0197556
43,882	0,0832446	0,0360392	-0,00747564
43,884	0,0325081	0,0415893	0,0610074
43,886	0,00767433	0,0615296	0,0655018
43,888	0,0612067	0,0640394	-0,00241679
43,89	0,054277	0,0653562	-0,0271523
43,892	0,00265093	0,0578825	0,0256186
43,894	0,00337088	0,0617938	0,0492972
43,896	0,0363705	0,0554509	0,0310195
43,898	0,0411145	0,0450604	0,00930614
43,9	0,00172012	0,0514062	-0,00603699
43,902	-0,000533419	0,0736308	-0,00270195
43,904	0,0189685	0,0703348	0,0111758
43,906	0,00732007	0,0392472	0,026669
43,908	0,010202	0,0611423	0,0267687
43,91	0,0139742	0,0732087	0,0209217
43,912	-0,00225715	0,0398773	0,0169422
43,914	0,011038	0,051729	0,0143262
43,916	0,0281417	0,075204	0,0134113
43,918	0,0252681	0,0840265	0,0272086
43,92	0,0187673	0,0558245	0,0458575
43,922	0,00784669	0,0239122	0,0360721
43,924	0,0152728	0,057884	0,0187491
43,926	0,0180638	0,0736014	0,0275281
43,928	0,0265606	0,0518734	0,0323844
43,93	0,0336727	0,0347506	0,0160647
43,932	0,0198329	0,0430507	0,0256713
43,934	0,047361	0,0581952	0,0408039
43,936	0,0604221	0,0328865	0,0127294
43,938	0,0248535	0,0335951	0,00181392
43,94	0,0334286	0,0561412	0,0460154
43,942	0,057633	0,0548623	0,0235742
43,944	0,0599118	0,0430061	-0,00953553
43,946	0,0695704	0,0297245	0,0241071
43,948	0,0897934	0,0213056	0,0275725
43,95	0,0745904	0,0380553	-0,0158935
43,952	0,0375466	0,0515906	0,0104641
43,954	0,0635709	0,0308999	0,0505473
43,956	0,104296	0,00284239	0,000706356
43,958	0,0554309	0,0324463	-0,0369138
43,96	0,0583048	0,0607219	0,0246669
43,962	0,112025	-0,0173435	0,0473992
43,964	0,0939009	-0,020874	-0,0182943
43,966	0,0589305	0,0614458	-0,010672
43,968	0,0794715	0,0447512	0,0552936
43,97	0,115304	-0,0327118	0,0313353
43,972	0,0925968	-0,00632106	-0,0110421
43,974	0,0787775	0,083007	0,00762899
43,976	0,123447	0,0223092	0,0534981
43,978	0,127865	-0,0394145	0,0334716
43,98	0,0910416	0,0383328	-0,0150637
43,982	0,0972439	0,0627383	0,0173696
43,984	0,125965	-0,00407851	0,0535087
43,986	0,115685	-0,0235172	-0,000509286
43,988	0,105761	0,0323091	-0,0191294
43,99	0,126061	0,0711999	0,0302477
43,992	0,135948	0,0102664	0,0242205
43,994	0,128027	-0,0484746	-0,0112955
43,996	0,137971	0,0367996	0,0261408
43,998	0,137304	0,115056	0,0167713
44	0,141997	0,0282674	-0,0385335
44,002	0,140142	-0,0410668	-0,00592024
44,004	0,135212	0,0513853	0,0723158
44,006	0,153392	0,11844	0,0251883
44,008	0,130607	0,0318118	-0,0385605
44,01	0,120765	-0,0475135	-0,00580434
44,012	0,173055	0,0300168	0,0367963
44,014	0,151239	0,131981	0,0149648
44,016	0,0786354	0,0646426	0,0169135
44,018	0,11025	-0,0335331	0,0216828
44,02	0,159297	0,00751496	-0,0137408
44,022	0,12405	0,113833	0,0214858
44,024	0,0783423	0,0991586	0,0719387
44,026	0,106551	-0,00975504	0,0061869
44,028	0,160564	-0,00420369	-0,0448066
44,03	0,124776	0,104076	0,0393965
44,032	0,0508935	0,106951	0,0786737
44,034	0,075656	0,000293639	0,0117115
44,036	0,13902	0,0136831	-0,0349917
44,038	0,10573	0,0987078	0,0157421
44,04	0,0497411	0,0906631	0,0628057
44,042	0,0741455	0,033043	0,0265339
44,044	0,110565	0,0209748	-0,0314227
44,046	0,0867657	0,0535926	-0,00577439
44,048	0,0341926	0,0911419	0,0488936
44,05	0,0591491	0,0738905	0,0268577
44,052	0,117	0,00863496	-0,0120892
44,054	0,0604232	0,024937	0,0163516
44,056	0,0111774	0,113949	0,0388743
44,058	0,0814234	0,0788744	0,0189172
44,06	0,0991154	0,000725619	-0,0153121
44,062	0,0546053	0,0414281	0,0168277
44,064	0,0566719	0,105986	0,0620076
44,066	0,0601627	0,0706653	0,0332963
44,068	0,0327011	0,0113443	-0,0159274
44,07	0,0319886	0,0385521	0,00605998
44,072	0,0508847	0,0814422	0,040183
44,074	0,0544716	0,0545952	0,0228218
44,076	0,0441211	0,0137936	0,00818794
44,078	0,0350946	0,0268725	0,0178355
44,08	0,039363	0,0437191	0,0123657
44,082	0,0334383	0,043936	0,018601
44,084	0,0126999	0,0547308	0,0166442
44,086	0,013204	0,0307961	0,0189276
44,088	0,0325111	0,0214736	0,0188232
44,09	0,054314	0,0455081	0,0363826
44,092	0,0510458	0,0267256	0,0366115
44,094	0,00396904	0,0142524	0,00282916
44,096	-0,0124424	0,0311992	-0,00332856
44,098	0,0351105	0,0288151	0,0403975
44,1	0,0305535	0,0169683	0,0563426
44,102	-0,0106826	0,0330745	0,0301865
44,104	0,024698	0,00886855	0,011094
44,106	0,0513974	-0,0235814	0,00804203
44,108	0,013996	0,0426466	0,0136858
44,11	0,00852398	0,0799089	0,0418075
44,112	0,0343421	0,00454905	0,0273381
44,114	0,039156	-0,0308918	-0,00631105
44,116	0,0383463	0,0418751	0,0136343
44,118	0,0375803	0,0676597	0,0330246
44,12	0,0459293	0,00367555	0,0122832
44,122	0,0652604	0,00416177	-0,0238621
44,124	0,0629607	0,0617063	-0,0122825
44,126	0,0384433	0,0583256	0,0250217
44,128	0,0446325	0,0103244	0,0276484
44,13	0,0791032	0,00343328	-0,0260561
44,132	0,080337	0,0420419	-0,0236587
44,134	0,0499904	0,0645703	0,0419869
44,136	0,0482347	0,0575534	0,0226218
44,138	0,0783174	0,0157314	-0,0434757
44,14	0,0939516	0,0105957	0,0136338
44,142	0,0842804	0,0715493	0,0645839
44,144	0,0727113	0,04204	0,0204376
44,146	0,0812059	0,0179137	-0,0105669
44,148	0,0982323	0,0635598	0,0223601
44,15	0,0967685	0,0645361	0,0467695
44,152	0,0828706	0,0578754	0,0367586
44,154	0,0623689	0,0441364	0,0127422
44,156	0,111139	0,0190234	-0,00145107
44,158	0,138948	0,0258823	0,0212836
44,16	0,0688434	0,0791901	0,0467427
44,162	0,076819	0,0717121	0,0222573
44,164	0,131853	0,00470255	-0,0174958
44,166	0,10608	0,0413836	-0,0254612
44,168	0,0813992	0,0882851	0,0167781
44,17	0,103606	0,046097	0,0317546
44,172	0,138545	0,0104478	0,0132696
44,174	0,137438	0,0367033	-0,00540002
44,176	0,104092	0,0895362	-0,015659
44,178	0,120263	0,0713781	-0,00132176
44,18	0,144747	0,0124171	0,00542866
44,182	0,117963	0,020673	0,0108301
44,184	0,0939008	0,0758413	0,0309878
44,186	0,118544	0,0692215	0,0283198
44,188	0,142325	-0,00744002	-0,0163261
44,19	0,127652	-0,00784302	-0,0143501
44,192	0,122015	0,0801455	0,0554775
44,194	0,132396	0,0947297	0,0462892
44,196	0,119296	-0,0108062	-0,0195771
44,198	0,100933	-0,0279187	-0,0122715
44,2	0,117221	0,0798612	0,0473997
44,202	0,137026	0,0730343	0,0631031
44,204	0,122521	-0,0125188	0,0112366
44,206	0,104242	0,00251614	-0,0394092
44,208	0,139668	0,0623088	-0,0242764
44,21	0,141087	0,0271581	0,059535
44,212	0,0731478	-0,00617912	0,0686359
44,214	0,0756514	0,0208495	-0,0232543
44,216	0,120349	0,0227773	-0,0413167
44,218	0,112289	0,016693	0,0248912
44,22	0,0943934	0,0127131	0,0679484
44,222	0,086633	0,0220458	0,015757
44,224	0,0801739	0,0358777	-0,0386683
44,226	0,0884658	-0,0130508	-0,00403634
44,228	0,0752933	-0,0382031	0,0636923
44,23	0,0645218	0,0484142	0,0528913
44,232	0,0925756	0,0611732	-2,52835e-005
44,234	0,0960874	-0,0299105	-0,0132773
44,236	0,0465342	-0,0295114	0,00557427
44,238	0,0410821	0,0508392	0,0328648
44,24	0,090536	0,0546103	0,0443507
44,242	0,0683202	-0,032314	0,00212266
44,244	0,0288244	-0,0310688	-0,0261005
44,246	0,0605267	0,0548659	0,0267801
44,248	0,0650604	0,0462687	0,0506422
44,25	0,0311753	-0,0165644	-0,02289
44,252	0,026829	-0,00415428	-0,0346033
44,254	0,0580363	0,0432446	0,0407385
44,256	0,0533932	0,0223035	0,0450794
44,258	0,00330199	-0,00389226	-0,0126693
44,26	0,0363726	0,0290086	0,0101402
44,262	0,11005	0,0347014	0,0425682
44,264	0,0282657	0,0281535	-0,00388406
44,266	-0,0544473	0,0605944	-0,0039101
44,268	0,0386041	0,0209607	0,0534686
44,27	0,111853	-0,0221729	0,0525749
44,272	0,00795561	0,0475774	0,0053652
44,274	-0,0504162	0,079823	0,0276348
44,276	0,0558273	0,0104346	0,0232146
44,278	0,0811045	-0,0115218	-0,0215615
44,28	-0,0124954	0,0622304	0,0306614
44,282	-0,0155843	0,0885149	0,109686
44,284	0,0396406	0,0221205	0,0036163
44,286	0,0381965	-0,0279244	-0,0863045
44,288	0,00899215	0,0432111	0,0467034
44,29	0,0240147	0,10531	0,137488
44,292	0,0572056	0,0562105	-0,00915864
44,294	0,0303925	-0,00522519	-0,0774936
44,296	0,00494148	0,037616	0,0414661
44,298	0,056994	0,0720113	0,084629
44,3	0,0496133	0,0446962	0,00827486
44,302	-5,18914e-005	0,0492606	-0,00612612
44,304	0,0146871	0,0343107	0,0220539
44,306	0,0597452	0,0269809	0,000512523
44,308	0,0654191	0,0690851	-0,00133666
44,31	0,0440115	0,0460762	0,0455331
44,312	0,0462529	0,0103056	0,0197776
44,314	0,0487846	0,0449421	-0,0477676
44,316	0,0434738	0,0548296	-0,0111301
44,318	0,0501757	0,0326338	0,0657861
44,32	0,0598302	0,0490542	0,024655
44,322	0,0928395	0,0588702	-0,0514062
44,324	0,0979309	0,00737942	-0,0109438
44,326	0,0531011	0,0173004	0,0379245
44,328	0,0883795	0,0697312	0,016268
44,33	0,0981828	0,0637359	-0,00762109
44,332	0,0312063	0,0115668	-0,00678391
44,334	0,0665112	0,00957209	0,00428002
44,336	0,127792	0,0414314	-0,0013183
44,338	0,0918697	0,0258267	0,0274127
44,34	0,0882216	0,00801331	0,0367685
44,342	0,11156	0,0219995	-0,0126448
44,344	0,0939462	0,0296043	-0,0286776
44,346	0,0835306	0,0249326	0,0342715
44,348	0,102597	0,0238315	0,0569399
44,35	0,136071	0,0107096	0,0288028
44,352	0,123805	0,00243701	0,0170156
44,354	0,0866303	0,0214799	0,024567
44,356	0,125076	0,0462042	0,0283899
44,358	0,162088	0,0156861	0,00419503
44,36	0,115138	-0,00283347	0,0077011
44,362	0,0981463	0,0287692	0,0285934
44,364	0,124387	0,0170427	0,0297156
44,366	0,119636	-0,0119046	-0,0102725
44,368	0,11634	-0,0034428	-0,00672812
44,37	0,143241	0,0471888	0,000764608
44,372	0,146572	0,0378794	-0,0106528
44,374	0,112047	-0,00553515	-0,0255078
44,376	0,132018	-0,014659	0,00555636
44,378	0,148835	0,0162719	0,016801
44,38	0,122911	0,0396341	0,015068
44,382	0,0991693	0,029238	0,00295699
44,384	0,118164	0,00729818	-0,00307362
44,386	0,134716	0,0142375	0,0105742
44,388	0,146202	0,0442078	0,0377049
44,39	0,110472	0,0295535	0,0332991
44,392	0,0770018	0,00922493	0,0127591
44,394	0,104676	0,000382413	0,0107645
44,396	0,121983	0,0269358	0,0224567
44,398	0,0775518	0,051433	0,0398396
44,4	0,066322	0,039157	0,0544647
44,402	0,128107	0,00652157	0,00487665
44,404	0,10898	-0,00604615	-0,0413951
44,406	0,0716803	0,0641876	0,00767533
44,408	0,108163	0,0679528	0,0778737
44,41	0,115477	-0,00130201	0,0385424
44,412	0,0609395	0,026744	-0,0514281
44,414	0,0583283	0,0878829	-0,0115908
44,416	0,0964561	0,074778	0,0312476
44,418	0,0842648	-0,0045039	0,00662968
44,42	0,0567402	0,0210683	0,00733526
44,422	0,0735302	0,105916	0,00836386
44,424	0,0858014	0,0406256	-0,0114839
44,426	0,0561784	-0,021817	0,0091923
44,428	0,028323	0,0611133	0,0288195
44,43	0,0443015	0,107834	-0,00149059
44,432	0,0582638	0,0444785	0,000898592
44,434	0,0189918	-0,0126362	0,0398482
44,436	0,0504242	0,0277439	0,0532551
44,438	0,102303	0,0938931	0,0270627
44,44	0,0307294	0,0649526	-0,00383875
44,442	0,00990637	-0,00956974	0,0181411
44,444	0,0369164	0,0206864	0,0456596
44,446	0,00429734	0,0993944	0,0587259
44,448	0,0177891	0,0632657	0,0420497
44,45	0,0367168	-0,0250853	0,00635256
44,452	0,0177064	0,00605977	-0,00771144
44,454	0,0390517	0,0827468	0,0295297
44,456	0,0133082	0,0409451	0,0437403
44,458	-0,0171773	-0,00300074	0,00688881
44,46	0,0216114	0,0254908	-0,0226945
44,462	0,0274117	0,0285042	0,00178187
44,464	-0,00563486	0,0215073	0,0435074
44,466	0,00303304	0,0194191	0,0327255
44,468	0,0669663	0,0303366	-0,0234576
44,47	0,0600595	0,0240443	-0,0262512
44,472	-0,033272	0,0104951	0,0236544
44,474	-0,00334897	0,0242993	0,0413165
44,476	0,0643605	0,00547484	0,0104331
44,478	0,0230831	0,00849376	-0,0112456
44,48	-0,0077085	0,0258857	0,0241871
44,482	0,0148081	0,0132398	0,0249304
44,484	0,0419469	0,000515528	-0,0115196
44,486	0,021738	0,00688354	-0,00423799
44,488	0,00486276	0,00962488	0,0206685
44,49	0,0458783	-0,0171753	0,00892578
44,492	0,0479746	-0,0179013	-0,00294494
44,494	0,0226614	0,028	0,0268145
44,496	0,0410102	0,0256935	0,0303199
44,498	0,0487328	0,00211412	-0,0279161
44,5	0,0542905	0,010381	-0,0169738
44,502	0,0525047	0,00245434	0,0453871
44,504	0,049995	-0,00607816	0,0374366
44,506	0,0679738	0,00680382	0,00467628
44,508	0,0635558	0,00927789	0,00813139
44,51	0,0526039	-0,000439866	0,0202064
44,512	0,0438372	0,027255	-0,00199976
44,514	0,0550853	0,0282933	-0,00176444
44,516	0,0936309	-0,0224042	0,0486236
44,518	0,0723718	-0,0106923	0,0440804
44,52	0,0486315	0,0373468	-0,0169456
44,522	0,117535	0,020249	-0,00727531
44,524	0,126877	0,000333119	0,0240296
44,526	0,0685385	0,0398979	0,00340296
44,528	0,0813608	0,059256	0,00650448
44,53	0,113552	0,0211063	0,0165583
44,532	0,117432	-0,00447968	-0,00764096
44,534	0,106653	0,0185221	-0,0111977
44,536	0,10207	0,0553067	0,0192574
44,538	0,127824	0,0498979	-0,0043466
44,54	0,121518	0,0214765	-0,0504662
44,542	0,0884349	0,0253506	-0,000152536
44,544	0,116326	0,0493603	0,0618909
44,546	0,129064	0,0533678	-0,0125493
44,548	0,0959165	0,0363447	-0,052798
44,55	0,122287	0,0288055	0,0325963
44,552	0,155945	0,0435677	0,0462622
44,554	0,123339	0,0667372	-0,02342
44,556	0,107554	0,0576237	0,0125584
44,558	0,136312	0,0213952	0,0548507
44,56	0,142354	0,0251427	-0,00814415
44,562	0,124751	0,0702983	0,0122427
44,564	0,126783	0,0802036	0,0886484
44,566	0,12944	0,0220289	0,0199324
44,568	0,102147	0,027742	-0,0514325
44,57	0,110882	0,0908352	0,0347026
44,572	0,142976	0,0332349	0,0911229
44,574	0,133406	-0,00650352	0,00887484
44,576	0,107559	0,0728222	-0,0242255
44,578	0,120765	0,0772478	0,0417004
44,58	0,133559	0,00818732	0,0337188
44,582	0,105932	0,0404509	-0,0209295
44,584	0,105934	0,100769	-0,00193994
44,586	0,144095	0,0353589	0,0359449
44,588	0,12177	-0,0259599	0,00998694
44,59	0,106317	0,0610343	-9,1014e-005
44,592	0,12564	0,0932797	0,0201282
44,594	0,0898837	0,0208705	-0,0205498
44,596	0,0759987	0,00160678	-0,0391518
44,598	0,096931	0,0326061	0,0246222
44,6	0,0942073	0,0381361	0,0563294
44,602	0,0802389	0,0184123	0,00569984
